SOD,Num_Sat_Rcv, X, Y, Z, Receiver_Bias,GDOP
1,9,6347498.8465,-22942.322034,622825.1112,-10.684875907,3.4718262956
31,9,6347500.7662,-22941.429495,622826.13677,-9.0956195372,3.4823409113
61,9,6347495.3812,-22941.249003,622824.5625,-13.412452825,3.4929767924
91,9,6347496.9543,-22940.337384,622824.54272,-12.693219338,3.5037341636
121,9,6347486.9148,-22943.025993,622824.74295,-19.248331932,2.4630831328
151,9,6347495.6037,-22943.701172,622822.28645,-13.209225091,2.465787554
181,9,6347492.0243,-22944.042197,622823.31515,-15.016902218,2.4685137767
211,9,6347488.2693,-22943.068813,622824.47343,-17.809861016,2.4712622592
241,9,6347492.0379,-22943.508016,622823.41935,-15.260855264,2.4740340904
271,9,6347491.7378,-22944.190925,622823.02009,-16.033670159,2.476832532
301,9,6347490.7747,-22943.434458,622822.30345,-17.263673613,2.4796591004
331,9,6347491.0176,-22943.275046,622822.39947,-16.838303486,2.4825155982
361,9,6347487.3274,-22944.738654,622823.95903,-18.905579423,2.4854046523
391,9,6347492.1245,-22942.885909,622820.97594,-16.792831209,2.4883266764
421,9,6347493.4152,-22944.607435,622822.93115,-14.817375542,2.4912852608
451,9,6347489.2947,-22943.159925,622820.68218,-19.011564267,2.49428254
481,9,6347488.8879,-22943.960775,622821.60968,-18.85542602,2.4973195414
511,10,6347489.4701,-22944.243108,622824.02858,-17.766675568,2.500398568
541,10,6347490.7581,-22941.67342,622823.37864,-17.228185374,2.5035216507
571,10,6347494.9703,-22943.3991,622824.27748,-15.653500087,2.5066907381
601,10,6347488.0341,-22941.353443,622823.38312,-19.753013018,2.5099094044
631,10,6347484.9166,-22944.10603,622822.50396,-22.822263846,2.5131780754
661,10,6347495.3138,-22941.491716,622822.7716,-15.519243351,2.5164972564
691,10,6347490.4402,-22942.725514,622822.27479,-19.070683329,2.5198728728
721,10,6347495.0822,-22942.38366,622823.75589,-15.155484289,2.5233036518
751,10,6347483.5964,-22942.984215,622823.44143,-24.076755271,2.5267949357
781,10,6347484.8349,-22941.968285,622823.37225,-22.294183394,2.5303449842
811,10,6347487.6987,-22942.984815,622823.45772,-19.95288921,2.533957294
841,10,6347489.2677,-22943.856739,622822.32463,-18.342248829,2.5376341401
871,10,6347491.3855,-22943.939255,622823.21183,-16.794810698,2.5413772035
901,10,6347492.646,-22943.009006,622824.18591,-14.601925561,2.545188591
931,10,6347495.3186,-22942.249625,622822.59778,-13.344186366,2.5490699587
961,10,6347491.1526,-22941.671656,622822.18849,-16.998946586,2.553024248
991,10,6347492.5779,-22941.281764,622823.39323,-14.837835102,2.557051699
1021,10,6347491.1285,-22942.512709,622822.48107,-16.689338972,2.5611552943
1051,9,6347484.227,-22943.539622,622822.00903,-21.116171667,2.5653371021
1081,9,6347495.8004,-22942.589145,622822.56253,-12.69562216,2.5695956768
1111,9,6347487.5291,-22942.97976,622824.13245,-18.730637314,2.5739379034
1141,10,6347492.8618,-22942.999949,622823.3392,-15.089970652,2.5783609949
1171,9,6347487.8254,-22942.211158,622822.3682,-18.709125615,2.582869758
1201,9,6347489.2883,-22942.726415,622822.02436,-17.215633098,2.5874636291
1231,9,6347491.829,-22942.931591,622823.32504,-16.005185829,2.5921448255
1261,9,6347489.0242,-22943.164121,622823.45078,-17.484555443,2.5969157413
1291,9,6347492.8233,-22941.520582,622823.51637,-14.713982632,2.6017761566
1321,9,6347491.4658,-22942.299738,622821.5595,-16.134378737,2.6067292189
1351,9,6347487.7093,-22942.935371,622822.55704,-18.879801235,2.6117758161
1381,9,6347490.5225,-22943.226253,622823.16671,-16.09238078,2.6169160105
1411,9,6347489.9156,-22941.717813,622823.07453,-17.379253083,2.6221523402
1441,9,6347489.7075,-22943.185657,622822.8594,-17.148532317,2.6274856175
1471,9,6347494.4249,-22943.414174,622822.48605,-13.1959067,2.6329161544
1501,9,6347490.7901,-22942.504366,622821.21234,-16.239700204,2.6384468137
1531,9,6347490.5776,-22942.608875,622824.08909,-16.489284599,2.644076985
1561,9,6347496.0791,-22944.513946,622822.78208,-12.137625071,2.649807233
1591,9,6347491.3502,-22941.578773,622822.60314,-15.636290544,2.655640327
1621,9,6347494.5608,-22943.108165,622822.41692,-13.180518658,2.6615747466
1651,9,6347490.1283,-22942.574391,622823.39823,-17.003373261,2.6676130444
1681,9,6347490.0647,-22943.030906,622821.5657,-16.311826311,2.6737541321
1711,9,6347487.1808,-22942.682304,622821.91832,-18.758776888,2.6799993603
1741,9,6347494.3425,-22944.325711,622822.06333,-13.301877193,2.6863472785
1771,9,6347491.5736,-22942.829542,622821.41978,-16.104426756,2.69280073
1801,9,6347491.4044,-22941.133822,622822.41096,-15.605911191,2.6993580894
1831,9,6347492.2281,-22942.95326,622823.13968,-14.962772555,2.7060196573
1861,9,6347489.7343,-22944.132707,622821.99207,-17.234548901,2.712785708
1891,9,6347492.0533,-22942.626298,622823.51056,-14.869035799,2.7196546517
1921,9,6347492.9933,-22942.275262,622822.65889,-14.134170389,2.7266270605
1951,9,6347489.7403,-22944.191303,622820.77473,-17.468408924,2.2702469571
1981,9,6347486.9491,-22944.129021,622822.13606,-19.333418664,2.2819683823
2011,9,6347489.2952,-22942.0725,622822.36863,-17.563461442,2.2938478159
2041,9,6347493.7484,-22944.509952,622822.94629,-14.552339605,2.305884772
2071,9,6347487.9128,-22943.612302,622822.95124,-18.828012997,2.3180797964
2101,9,6347491.7166,-22945.240916,622822.72983,-15.79276912,2.3304294285
2131,9,6347486.4943,-22944.625095,622821.8717,-19.492474917,2.3429344747
2161,9,6347491.6049,-22945.023138,622823.44296,-15.757053417,2.3555909714
2191,9,6347487.5732,-22943.753551,622820.92464,-18.987563307,2.3683995376
2221,9,6347486.5976,-22943.536618,622821.5663,-19.837879787,2.381356386
2251,9,6347492.5856,-22941.203694,622823.51057,-14.991404851,2.3944586853
2281,9,6347491.7446,-22943.972222,622822.90432,-15.566195141,2.4077054946
2311,9,6347494.428,-22943.696735,622823.58132,-13.37329615,2.4210924374
2341,9,6347490.7966,-22944.512689,622821.67573,-16.479259003,2.4346174842
2371,9,6347491.4825,-22945.018905,622823.66514,-16.204478738,2.4482754372
2401,9,6347494.6157,-22944.686018,622824.49519,-13.552827466,2.4620626137
2431,9,6347488.7311,-22942.296247,622821.93857,-17.308881933,2.4759760906
2461,9,6347489.8202,-22942.873292,622822.89528,-16.776587992,2.4900088135
2491,9,6347490.5611,-22945.350477,622822.74404,-16.999280709,2.5041566041
2521,9,6347488.7208,-22943.959843,622821.1042,-18.135986885,2.5184140756
2551,9,6347487.0667,-22943.110444,622822.27609,-19.392939595,2.5327746305
2581,9,6347491.2375,-22943.533239,622821.8432,-16.318752621,2.5472310729
2611,9,6347484.3128,-22944.074519,622820.61283,-21.460372342,2.561778556
2641,9,6347490.0751,-22943.287894,622822.68607,-16.60254399,2.5764062035
2671,9,6347486.9315,-22943.008307,622822.17166,-18.721397568,2.5911090382
2701,9,6347491.0821,-22943.892033,622822.1196,-16.218371666,2.6058761758
2731,9,6347491.9417,-22945.477119,622823.12869,-15.089596814,2.620699899
2761,9,6347489.6114,-22943.282155,622822.57165,-17.510200884,2.6355705671
2791,9,6347490.2203,-22943.025619,622823.48139,-16.340672329,2.6504770207
2821,9,6347486.5053,-22942.036736,622822.04414,-18.760112667,2.6654095598
2851,9,6347485.946,-22943.253921,622822.14123,-20.068703253,2.680355632
2881,9,6347488.1477,-22942.874837,622820.82958,-18.525239518,2.6953033446
2911,9,6347492.9526,-22943.422025,622823.3058,-14.929302838,2.7102399974
2941,9,6347489.564,-22944.072215,622823.70679,-17.09741857,2.7251541803
2971,9,6347484.5685,-22943.240029,622821.20107,-20.427737528,2.7400311981
3001,9,6347488.9475,-22943.00254,622823.46264,-17.523212827,2.754854845
3031,9,6347492.1599,-22943.401925,622823.36881,-15.13543047,2.7696119931
3061,9,6347487.0922,-22941.963697,622821.99706,-18.966870767,2.7842881724
3091,9,6347487.7149,-22942.000267,622822.55884,-19.094162305,2.7988651762
3121,9,6347489.0244,-22945.115339,622823.34224,-17.762939937,2.8133272728
3151,9,6347490.9568,-22943.391183,622823.82213,-16.26067542,2.827657276
3181,9,6347489.32,-22943.255376,622822.1901,-17.08143017,2.8418384448
3211,9,6347490.0962,-22943.402738,622821.02955,-16.65208584,2.8558517194
3241,9,6347491.1898,-22942.8021,622822.79447,-16.632830989,2.8696788803
3271,9,6347488.3663,-22943.766992,622822.24604,-17.589148945,2.8833020262
3301,9,6347489.4027,-22942.330568,622822.19587,-17.113205019,2.8967005898
3331,9,6347487.0992,-22943.466192,622821.99688,-18.956567069,2.9098564316
3361,9,6347490.5892,-22941.978638,622823.45898,-16.313781327,2.9227482376
